Time,ProfitLabel,TimeFilter,Close,Rsi7,Rsi14,Rsi21,MacdLine1,MacdCandle1,MacdLine2,MacdCandle2,MacdLine3,MacdCandle3,Cci1,Cci2,Cci3,StochMain1,StochSignal1,StochMain2,StochSignal2,StochMain3,StochSignal3,Hour_sin,Hour_cos,RSI7_minus_RSI14,RSI7_minus_RSI21,RSI14_minus_RSI21,RSI7_div_RSI14,RSI7_div_RSI21,RSI14_div_RSI21,RSI7_region,RSI14_region,RSI21_region,RSI_order,MacdHist1,MacdCross1,MacdAboveZero1,MacdSlope1,MacdHist2,MacdCross2,MacdAboveZero2,MacdSlope2,MacdHist3,MacdCross3,MacdAboveZero3,MacdSlope3,CciRegion1,CciRegion2,CciRegion3,StochCross1,StochRegion1,StochCross2,StochRegion2,StochCross3,StochRegion3,ma_diff_7_14,ma_diff_14_21,ma_diff_7_21,ma7_close_diff,ma14_close_diff,ma21_close_diff,tenkan_kijun_diff,spanA_spanB_diff,close_tenkan_diff,close_kijun_diff,close_spanA_diff,close_spanB_diff,boll_bandwidth,close_boll_upper_diff,close_boll_lower_diff,close_boll_middle_diff,boll_upper_middle_diff,boll_lower_middle_diff,close_env_upper_diff,close_env_lower_diff,Rsi7_momentum_1,Rsi7_momentum_2,Rsi7_momentum_3,MacdLine1_momentum_1,MacdLine1_momentum_2,MacdLine1_momentum_3,StochMain1_momentum_1,StochMain1_momentum_2,StochMain1_momentum_3,Rsi14_momentum_1,Rsi14_momentum_2,Rsi14_momentum_3,MacdLine2_momentum_1,MacdLine2_momentum_2,MacdLine2_momentum_3,StochMain2_momentum_1,StochMain2_momentum_2,StochMain2_momentum_3,Rsi21_momentum_1,Rsi21_momentum_2,Rsi21_momentum_3,MacdLine3_momentum_1,MacdLine3_momentum_2,MacdLine3_momentum_3,StochMain3_momentum_1,StochMain3_momentum_2,StochMain3_momentum_3
2025-04-04 22:00:00,2,1,3027.81,65.68,53.96,48.48,-1.09,-1.93,-5.45,-6.12,0.83,-0.41,132.84,181.37,163.91,96.4,73.52,96.4,72.14,84.01,60.35,-0.5000000000000004,0.8660254037844384,11.72,17.2,5.48,1.22,1.35,1.11,3,2,2,0,0.84,1,0,0.42,0.67,1,0,0.22,1.24,1,1,0.68,2,3,3,1,2,1,2,1,2,0.37,-0.42,-0.05,-2.92,-3.29,-2.87,-1.44,-25.62,4.87,3.43,-2.68,-28.3,-4.03,3.91,-0.12,7.94,4.03,8.06,0.72,6.76,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2025-04-04 22:05:00,2,1,3023.9,47.88,46.81,44.72,-1.06,-1.78,-5.31,-5.96,0.44,-0.27,60.86,83.03,72.66,83.86,84.52,83.86,84.52,77.83,73.47,-0.5000000000000004,0.8660254037844384,1.07,3.16,2.09,1.02,1.07,1.05,2,2,2,0,0.72,1,0,0.03,0.65,1,0,0.14,0.71,1,1,-0.39,1,1,1,0,2,0,2,1,1,0.2,-0.4,-0.2,0.74,0.54,0.94,-1.44,-22.32,0.96,-0.48,-7.39,-29.71,-3.2,-0.27,-3.47,2.93,3.2,6.4,-3.05,2.99,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 22:10:00,2,1,3023.81,47.53,46.66,44.63,-1.03,-1.65,-5.17,-5.81,0.17,-0.19,-9.31,-15.61,-29.25,71.13,83.8,72.9,84.39,72.16,78.0,-0.5000000000000004,0.8660254037844384,0.87,2.9,2.03,1.02,1.06,1.05,2,2,2,0,0.62,1,0,0.03,0.64,1,0,0.14,0.36,1,1,-0.27,0,0,0,0,1,0,1,0,1,0.08,-0.4,-0.32,0.62,0.54,0.94,-1.44,-22.06,0.87,-0.57,-7.74,-29.8,-3.19,-0.31,-3.5,2.88,3.19,6.38,-3.19,2.86,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 22:15:00,2,1,3030.75,68.2,58.06,51.92,-0.44,-1.47,-4.9,-5.65,1.34,-0.0,137.57,213.26,242.08,66.0,73.66,71.91,76.22,71.59,73.86,-0.5000000000000004,0.8660254037844384,10.14,16.28,6.14,1.17,1.31,1.12,3,2,2,0,1.03,1,0,0.59,0.75,1,0,0.27,1.34,1,1,1.17,2,4,4,0,1,0,1,0,1,0.8,-0.08,0.72,-4.74,-5.54,-5.46,1.11,-20.47,5.56,6.67,-1.0,-21.47,-4.28,6.36,2.08,10.65,4.29,8.57,3.3,9.35,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
2025-04-04 22:20:00,1,1,3032.57,71.62,60.45,53.6,0.17,-1.22,-4.61,-5.46,2.29,0.32,152.47,231.01,312.91,80.11,72.41,85.23,76.68,85.23,76.33,-0.5000000000000004,0.8660254037844384,11.17,18.02,6.85,1.18,1.34,1.13,3,3,2,0,1.39,1,1,0.61,0.85,1,0,0.29,1.97,1,1,0.95,3,4,4,1,2,1,2,1,2,1.46,0.23,1.69,-4.92,-6.38,-6.61,1.11,-20.62,7.17,8.28,0.97,-19.65,-5.56,7.75,2.19,13.32,5.57,11.13,4.53,10.58,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0
2025-04-04 22:25:00,2,1,3028.63,56.32,53.36,49.65,0.33,-0.96,-4.41,-5.27,1.97,0.63,83.28,143.97,205.07,76.81,74.3,83.04,80.06,83.04,79.96,-0.5000000000000004,0.8660254037844384,2.96,6.67,3.71,1.06,1.13,1.07,2,2,2,0,1.29,1,1,0.16,0.86,1,0,0.2,1.34,1,1,-0.32,1,2,4,1,1,1,2,1,2,1.39,0.31,1.7,-0.73,-2.12,-2.43,1.12,-21.06,2.27,3.39,-2.53,-23.59,-5.77,3.56,-2.21,9.34,5.78,11.55,0.25,6.3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 22:30:00,2,1,3029.77,59.26,55.01,50.76,0.55,-0.65,-4.2,-5.07,1.91,0.97,43.58,95.99,141.3,69.01,75.31,76.04,81.44,76.94,81.74,-0.5000000000000004,0.8660254037844384,4.25,8.5,4.25,1.08,1.17,1.08,2,2,2,0,1.2,1,1,0.22,0.87,1,0,0.21,0.94,1,1,-0.06,1,1,2,0,1,0,1,0,1,1.42,0.43,1.85,-1.4,-2.82,-3.25,2.01,-22.33,2.52,4.53,-0.12,-22.45,-6.12,4.45,-1.67,10.57,6.12,12.24,0.84,6.89,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-04 22:35:00,2,1,3029.36,57.63,54.27,50.34,0.68,-0.38,-4.01,-4.86,1.71,1.2,29.81,76.24,114.6,56.92,67.58,63.17,74.08,67.51,75.83,-0.5000000000000004,0.8660254037844384,3.36,7.29,3.93,1.06,1.14,1.08,2,2,2,0,1.06,1,1,0.13,0.85,1,0,0.19,0.51,1,1,-0.2,1,1,2,0,1,0,1,0,1,1.34,0.49,1.83,-0.75,-2.09,-2.58,3.15,-25.27,0.97,4.12,2.41,-22.86,-6.37,3.86,-2.51,10.24,6.38,12.75,0.09,6.14,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 22:40:00,2,1,3030.08,59.89,55.4,51.08,0.83,-0.12,-3.82,-4.65,1.65,1.37,56.89,87.62,125.05,54.76,60.23,63.04,67.42,70.43,71.63,-0.5000000000000004,0.8660254037844384,4.49,8.81,4.32,1.08,1.17,1.08,2,2,2,0,0.95,1,1,0.15,0.83,1,0,0.19,0.28,1,1,-0.06,1,1,2,0,1,0,1,0,1,1.34,0.56,1.9,-1.1,-2.44,-3.0,2.03,-26.1,1.69,3.72,4.55,-21.55,-6.58,4.24,-2.34,10.82,6.58,13.16,0.43,6.49,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2025-04-04 22:45:00,1,1,3037.83,75.96,65.37,58.12,1.55,0.18,-3.48,-4.44,3.01,1.61,210.41,174.46,217.14,61.95,57.88,70.66,65.62,77.07,71.67,-0.5000000000000004,0.8660254037844384,10.59,17.84,7.25,1.16,1.31,1.12,3,3,2,0,1.37,1,1,0.72,0.96,1,0,0.34,1.4,1,1,1.36,4,3,4,1,1,1,1,1,1,2.19,0.94,3.13,-6.64,-8.83,-9.77,2.04,-26.06,6.35,8.39,12.47,-13.59,-8.35,11.32,2.97,19.68,8.36,16.71,7.06,13.12,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0
2025-04-04 22:50:00,1,1,3036.21,69.2,62.24,56.34,1.98,0.51,-3.2,-4.2,3.34,1.93,122.19,155.47,184.3,64.66,60.46,75.64,69.78,80.44,75.98,-0.5000000000000004,0.8660254037844384,6.96,12.86,5.9,1.11,1.23,1.1,3,3,2,0,1.47,1,1,0.43,1.0,1,0,0.28,1.41,1,1,0.33,2,3,3,1,1,1,1,1,2,2.49,1.16,3.65,-3.76,-6.25,-7.41,2.04,-24.58,4.73,6.77,10.85,-13.73,-9.29,9.11,-0.18,18.4,9.29,18.58,4.42,10.48,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1
2025-04-04 22:55:00,1,1,3036.47,69.7,62.55,56.57,2.31,0.88,-2.93,-3.95,3.42,2.29,82.28,138.85,156.61,70.19,65.6,78.71,75.0,82.05,79.85,-0.5000000000000004,0.8660254037844384,7.15,13.13,5.98,1.11,1.23,1.11,3,3,2,0,1.43,1,1,0.33,1.02,1,0,0.27,1.13,1,1,0.08,1,2,3,1,1,1,1,1,2,2.62,1.33,3.95,-3.02,-5.64,-6.97,2.04,-22.78,4.99,7.03,11.11,-11.67,-10.01,8.74,-1.27,18.75,10.01,20.02,3.55,9.61,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2025-04-04 23:00:00,1,1,3036.35,69.09,62.29,56.43,2.53,1.21,-2.68,-3.7,3.27,2.51,61.66,115.7,135.7,64.58,66.48,73.72,76.02,78.5,80.33,-0.25881904510252157,0.9659258262890681,6.8,12.66,5.86,1.11,1.22,1.1,3,3,2,0,1.32,1,1,0.22,1.02,1,0,0.25,0.76,1,1,-0.15,1,2,2,0,1,0,1,0,1,2.61,1.45,4.06,-2.17,-4.78,-6.23,4.53,-23.34,2.38,6.91,12.08,-11.26,-10.32,7.9,-2.42,18.22,10.32,20.64,2.67,8.73,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 23:05:00,1,1,3036.63,69.81,62.67,56.69,2.7,1.49,-2.45,-3.46,3.09,2.6,31.22,81.69,108.51,63.33,66.03,71.78,74.74,77.72,79.42,-0.25881904510252157,0.9659258262890681,7.14,13.12,5.98,1.11,1.23,1.11,3,3,2,0,1.21,1,1,0.17,1.01,1,0,0.23,0.49,1,1,-0.18,1,1,2,0,1,0,1,0,1,2.55,1.53,4.08,-1.84,-4.39,-5.92,4.53,-23.34,2.66,7.19,12.36,-10.98,-10.75,7.58,-3.17,18.33,10.75,21.5,2.16,8.22,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-04 23:10:00,1,1,3038.42,74.28,65.1,58.38,2.94,1.78,-2.19,-3.22,3.18,2.73,74.59,91.6,118.68,67.78,65.23,72.77,72.76,80.3,78.84,-0.25881904510252157,0.9659258262890681,9.18,15.9,6.72,1.14,1.27,1.12,3,3,2,0,1.16,1,1,0.24,1.03,1,0,0.26,0.45,1,1,0.09,1,1,2,1,1,1,1,1,2,2.63,1.66,4.29,-2.72,-5.35,-7.01,4.79,-22.17,4.19,8.98,14.15,-8.02,-11.29,8.69,-2.6,19.98,11.29,22.58,3.19,9.25,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
2025-04-04 23:15:00,0,0,3037.86,70.47,63.71,57.64,3.05,2.06,-1.97,-2.97,2.97,2.85,182.04,97.4,121.15,67.78,66.3,76.0,73.52,82.85,80.29,-0.25881904510252157,0.9659258262890681,6.76,12.83,6.07,1.11,1.22,1.11,3,3,2,0,0.99,1,1,0.11,1.0,1,0,0.22,0.12,1,1,-0.21,3,1,2,1,1,1,1,1,2,2.53,1.71,4.24,-1.62,-4.15,-5.86,4.79,-19.84,3.58,8.37,13.59,-6.25,-11.27,7.35,-3.92,18.61,11.26,22.53,1.63,7.7,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
2025-04-04 23:20:00,0,0,3037.74,69.58,63.39,57.48,3.1,2.33,-1.76,-2.72,2.69,2.96,14.05,62.87,89.44,66.98,67.51,77.36,75.38,84.67,82.61,-0.25881904510252157,0.9659258262890681,6.19,12.1,5.91,1.1,1.21,1.1,3,3,2,0,0.77,1,1,0.05,0.96,1,0,0.21,-0.27,0,1,-0.28,1,1,1,0,1,1,1,1,2,2.37,1.72,4.09,-1.13,-3.5,-5.22,5.62,-17.75,2.63,8.25,13.47,-4.28,-10.95,6.43,-4.52,17.39,10.96,21.91,0.52,6.58,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
2025-04-04 23:25:00,0,0,3038.03,70.63,63.86,57.78,3.12,2.59,-1.57,-2.47,2.46,3.05,74.89,72.11,90.98,57.46,64.07,74.51,75.96,82.26,83.26,-0.25881904510252157,0.9659258262890681,6.77,12.85,6.08,1.11,1.22,1.11,3,3,2,0,0.53,1,1,0.02,0.9,1,0,0.19,-0.59,0,1,-0.23,1,1,1,0,1,0,1,0,2,2.22,1.73,3.95,-1.06,-3.28,-5.01,6.0,-12.98,2.54,8.54,12.12,-0.86,-10.15,5.85,-4.3,16.01,10.16,20.31,0.28,6.35,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-04 23:30:00,0,0,3036.59,58.89,59.81,55.7,2.99,2.74,-1.42,-2.24,1.93,2.93,-14.77,48.53,71.18,47.15,57.2,64.93,72.27,77.6,81.51,-0.25881904510252157,0.9659258262890681,-0.92,3.19,4.11,0.98,1.06,1.07,2,2,2,2,0.25,1,1,-0.13,0.82,1,0,0.15,-1.0,0,1,-0.53,0,1,1,0,1,0,1,0,1,1.88,1.64,3.52,0.28,-1.6,-3.24,7.86,-11.5,-0.76,7.1,10.85,-0.65,-9.88,3.87,-6.01,13.75,9.88,19.76,-1.44,4.63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 23:35:00,0,0,3036.79,59.97,60.18,55.94,2.86,2.84,-1.27,-2.03,1.58,2.73,-31.77,41.74,63.26,35.97,46.86,54.88,64.77,72.25,77.37,-0.25881904510252157,0.9659258262890681,-0.21,4.03,4.24,1.0,1.07,1.08,2,3,2,2,0.02,1,1,-0.13,0.76,1,0,0.15,-1.15,0,1,-0.35,0,1,1,0,1,0,1,0,1,1.62,1.57,3.19,0.06,-1.56,-3.13,7.86,-11.66,-0.56,7.3,11.21,-0.45,-9.46,3.51,-5.95,12.97,9.46,18.92,-1.83,4.24,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-04 23:40:00,0,0,3035.81,52.15,57.34,54.47,2.66,2.88,-1.15,-1.83,1.11,2.48,-143.3,6.62,44.9,16.59,33.23,36.7,52.17,66.39,72.08,-0.25881904510252157,0.9659258262890681,-5.19,-2.32,2.87,0.91,0.96,1.05,2,2,2,3,-0.22,0,1,-0.2,0.68,1,0,0.12,-1.37,0,1,-0.47,-1,1,1,0,0,0,1,0,1,1.28,1.46,2.74,0.78,-0.5,-1.96,7.86,-11.66,-1.54,6.32,10.23,-1.43,-9.17,2.13,-7.04,11.3,9.17,18.34,-3.24,2.83,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 23:45:00,0,0,3037.65,62.78,61.06,56.7,2.61,2.89,-1.01,-1.64,1.14,2.24,-37.61,28.73,53.69,26.97,26.51,41.65,44.41,67.27,68.64,-0.25881904510252157,0.9659258262890681,1.72,6.08,4.36,1.03,1.11,1.08,3,3,2,0,-0.28,0,1,-0.05,0.63,1,0,0.14,-1.1,0,1,0.03,0,1,1,1,1,0,1,0,1,1.24,1.42,2.66,-0.79,-2.03,-3.45,7.86,-11.66,0.3,8.16,12.07,0.41,-8.14,3.28,-4.86,11.42,8.14,16.28,-1.99,4.08,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
2025-04-04 23:50:00,0,0,3036.63,54.89,58.04,55.13,2.46,2.86,-0.9,-1.47,0.91,2.0,12.33,19.54,52.9,32.74,25.43,35.61,37.99,64.59,66.09,-0.25881904510252157,0.9659258262890681,-3.15,-0.24,2.91,0.95,1.0,1.05,2,2,2,3,-0.4,0,1,-0.15,0.57,1,0,0.11,-1.09,0,1,-0.23,1,1,1,1,1,0,1,0,1,1.04,1.34,2.38,0.17,-0.87,-2.21,8.73,-10.06,-1.59,7.14,11.07,1.01,-6.58,1.62,-4.96,8.2,6.58,13.16,-3.48,2.59,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 23:55:00,0,0,3036.16,51.42,56.65,54.4,2.28,2.79,-0.8,-1.32,0.65,1.72,-30.59,-20.2,44.61,38.98,32.9,31.23,36.16,58.44,63.43,-0.25881904510252157,0.9659258262890681,-5.23,-2.98,2.25,0.91,0.95,1.04,2,2,2,3,-0.51,0,1,-0.18,0.52,1,0,0.1,-1.07,0,1,-0.26,0,0,1,1,1,0,1,0,1,0.83,1.23,2.06,0.48,-0.35,-1.58,7.83,-9.46,-2.06,5.77,11.93,2.47,-6.3,0.88,-5.42,7.18,6.3,12.6,-3.83,2.24,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
